Platz,St-Nr.,Code,Name und Vorname,Jg,Klub,Zeit,Abstand,Punkte,ResultUrl
4,15,95826,Kaifer Chiara Luana,2013,Renngruppe Zürcher Oberland,1:10.97,4.31,180.10,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
8,7,95813,Baumgartner Elisa,2013,Renngruppe Zürcher Oberland,1:13.20,6.54,217.49,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
5,33,95814,Baumgartner Melicia,2011,Renngruppe Zürcher Oberland,1:04.92,2.38,78.65,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
24,47,95811,Artho Emma,2011,Renngruppe Zürcher Oberland,1:14.30,11.76,235.94,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
4,64,95829,Roshardt Aliyah,2010,Renngruppe Zürcher Oberland,1:02.79,2.56,42.93,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
6,88,95816,Börlin Mael,2013,Renngruppe Zürcher Oberland,1:07.91,3.48,142.76,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
18,107,95830,Rossi Liam,2013,Renngruppe Zürcher Oberland,1:17.32,12.89,302.49,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
17,31,95832,Seiler Anna,2012,Renngruppe Zürcher Oberland,1:10.26,7.72,168.19,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
24,116,95822,Hensch Pascal,2012,Renngruppe Zürcher Oberland,1:08.35,6.36,150.23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
40,154,109774,Fuhrer Ramon,2012,Renngruppe Zürcher Oberland,1:27.50,25.51,475.29,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
8,170,95833,Simmerle Finn,2009,Renngruppe Zürcher Oberland,1:04.69,5.19,88.10,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
11,159,95825,Janssen Justin,2009,Renngruppe Zürcher Oberland,1:05.53,6.03,102.36,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1373.pdf
