Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Kaifer Chiara Luana,MU12,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,3,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Baumgartner Elisa,MU12,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,4,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Baumgartner Melicia,MU14,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,1,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Roshardt Aliyah,MU16,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,5,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Börlin Mael,KU12,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,2,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Fuhrer Ramon,KU14,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,24,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Seiler Louis,KU16,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,8,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Janssen Justin,KU16,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,11,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Simmerle Finn,KU16,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
Seiler Anna,MU14,SSC RiSa Derby-Slalom 2,Slalom,Hoch-Ybrig,,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1398.pdf
